"Tweet","Polarity"
"['""we had a president with whom I could disagree without ever doubting his fitness to lead."" Powerful description of… https://t.co/Y30QGGz5XZ']","['Positive']"
"['RT @ElderLansing: Our intelligence community has truly become a joke and lost all respect and credibility. First Stormy Daniels and now Kar…']","['Positive']"
"[""RT @krassenstein: Microsoft says that Putin's Russia tried to hack three different 2018 US midterm candidates.\n\nOur elections are under att…""]","['Positive']"
"['RT @tribelaw: Trump’s base is being conditioned to accept a dangerous new syllogism: It’s good for America that Trump defeated Clinton. So…']","['Positive']"
"['RT @jeffs4u2: Hillary Clinton suckers americans into thinking Russia is responsible for her losing the 2016 election 🤔\n\n@BernieSanders push…']","['Negative']"
"['@cmmcd Great question. Two points: 1. the OLC memo is policy, not law. The CFRs seem to allow Mueller to apply for… https://t.co/3eFXajKZwZ']","['Negative']"
"['RT @yashar: In-Box: BBC: New Misconduct Allegations President Trump. https://t.co/qVfcvRwQzb']","['Positive']"
"['A new proposal by the Trump administration aims to roll back some of the regulations enforced by the Endangered Spe… https://t.co/VYzfgdBHuV']","['Positive']"
"['RT @AC360: “There is no landscape in which this is a good thing for him [Trump], in terms of what he has said about this.” @maggieNYT on th…']","['Positive']"
"[""RT @SarahPalinUSA: Hillary Scolds Trump for Hesitating to 'Defend a Diplomat' — Then 2 Benghazi Warriors Show Up https://t.co/Zbc1NJO2Wh""]","['Positive']"
"[""RT @davincimorrisco: @jpflorida73 @EsoOrc @NancyPelosi The ONLY fiddle being played here is Vladi Putin plucking Trump's MAKE-RUSSIA-GREAT-…""]","['Positive']"
"['RT @medwriter333: In case anyone was wondering why Trump issued that invitation to Putin. \nWe cannot let this parade go unchallenged. https…']","['Positive']"
"['RT @pithypacky: @MichaelAvenatti They didn’t break in. They had a warrant. This is lie number 12,675. And Trump will go down in history as…']","['Negative']"
"['RT @MichaelAvenatti: It is time that our elected leaders demand to know WHY Mr. Trump continues to be a stooge for Russia and Putin. The fa…']","['Negative']"
"['And you will send the invite for the capitulation at the WH and the lavish parties at Trump properties.  How much m… https://t.co/gDmYlVJjtG']","['Positive']"
